iter	Passed	Remaining
0	60	60189
1	60	30295
2	61	20352
3	61	15359
4	62	12372
5	62	10384
6	62	8934
7	63	7861
8	63	7035
9	64	6359
10	64	5806
11	65	5369
12	65	4998
13	66	4669
14	66	4387
15	67	4139
16	67	3919
17	68	3717
18	68	3539
19	68	3375
20	69	3229
21	69	3100
22	70	2977
23	70	2864
24	70	2763
25	71	2669
26	71	2587
27	72	2504
28	72	2432
29	73	2363
30	73	2301
31	74	2241
32	74	2184
33	74	2129
34	75	2088
35	76	2039
36	76	1993
37	77	1949
38	77	1906
39	77	1866
40	78	1829
41	78	1792
42	79	1760
43	79	1733
44	80	1700
45	80	1675
46	81	1651
47	82	1627
48	82	1599
49	82	1573
50	83	1549
51	83	1524
52	83	1500
53	84	1479
54	84	1459
55	85	1442
56	85	1422
57	86	1402
58	86	1383
59	87	1365
60	87	1347
61	88	1333
62	88	1316
63	88	1300
64	89	1287
65	89	1273
66	90	1258
67	90	1242
68	91	1232
69	91	1218
70	92	1207
71	92	1193
72	93	1181
73	93	1168
74	93	1158
75	94	1146
76	94	1136
77	95	1124
78	95	1113
79	96	1105
80	96	1096
81	97	1091
82	97	1080
83	98	1072
84	98	1062
85	99	1054
86	99	1047
87	100	1040
88	100	1032
89	101	1023
90	101	1016
91	102	1010
92	102	1001
93	103	994
94	103	987
95	104	980
96	104	973
97	104	966
98	105	959
99	105	953
100	106	948
101	106	941
102	107	936
103	108	937
104	109	931
105	109	926
106	110	921
107	110	914
108	111	908
109	111	904
110	112	898
111	112	892
112	113	887
113	113	881
114	113	876
115	114	871
116	114	864
117	114	859
118	115	856
119	116	851
120	116	847
121	116	841
122	117	837
123	117	833
124	118	829
125	118	824
126	119	819
127	119	815
128	120	812
129	120	807
130	121	804
131	121	799
132	122	796
133	122	793
134	123	789
135	123	786
136	124	783
137	125	781
138	126	782
139	127	780
140	127	777
141	127	772
142	128	769
143	128	765
144	129	762
145	129	759
146	130	755
147	130	752
148	131	749
149	131	746
150	132	742
151	132	739
152	133	736
153	133	732
154	133	729
155	134	726
156	134	723
157	135	720
158	135	717
159	136	715
160	136	711
161	137	708
162	137	707
163	138	704
164	138	702
165	139	698
166	139	696
167	140	694
168	140	692
169	141	690
170	141	687
171	142	685
172	142	683
173	143	680
174	143	678
175	144	675
176	144	673
177	145	670
178	145	668
179	146	665
180	146	663
181	147	661
182	147	659
183	147	656
184	148	653
185	148	651
186	149	648
187	149	647
188	150	645
189	150	642
190	151	640
191	151	637
192	152	635
193	152	633
194	152	630
195	153	628
196	153	626
197	154	624
198	154	622
199	155	621
200	155	618
201	156	617
202	156	615
203	157	612
204	157	610
205	157	608
206	158	607
207	159	606
208	159	604
209	160	602
210	160	600
211	161	598
212	161	596
213	161	594
214	162	592
215	162	590
216	163	589
217	163	588
218	164	586
219	164	584
220	165	583
221	165	581
222	166	580
223	166	578
224	167	576
225	168	575
226	168	574
227	169	572
228	169	571
229	170	569
230	170	567
231	171	566
232	171	565
233	172	563
234	172	562
235	173	560
236	173	558
237	173	556
238	174	554
239	174	553
240	175	551
241	175	550
242	176	550
243	177	549
244	177	547
245	178	546
246	178	544
247	179	543
248	179	541
249	180	540
250	180	539
251	181	538
252	181	536
253	181	534
254	182	532
255	182	531
256	183	530
257	184	529
258	184	527
259	184	526
260	185	524
261	185	523
262	186	522
263	186	521
264	187	519
265	187	518
266	188	517
267	188	515
268	189	514
269	190	513
270	190	513
271	191	511
272	191	510
273	192	509
274	192	507
275	192	506
276	193	505
277	194	504
278	194	502
279	195	501
280	195	500
